ERR unknown command (type 'help')
OK mode=LOG
ERR unknown command (type 'help')
M,1273618,W,41,START
OK start
S,1292609,-172,107,673
S,1292619,-152,89,687
S,1292629,-137,41,686
S,1292639,-105,6,676
S,1292649,-57,15,650
S,1292659,-35,28,595
S,1292669,-30,36,544
S,1292679,-39,47,497
S,1292689,-55,48,464
S,1292699,-70,55,417
S,1292709,-82,52,377
S,1292719,-96,34,362
S,1292729,-109,34,331
S,1292739,-98,54,297
S,1292749,-42,86,259
S,1292759,24,107,222
S,1292769,-16,72,205
S,1292779,-47,28,154
S,1292789,-31,25,118
S,1292799,-21,8,115
S,1292809,-19,-15,114
S,1292819,-21,-80,149
S,1292829,-23,-70,125
S,1292839,14,-101,145
S,1292849,95,-46,147
S,1292859,98,-54,134
S,1292869,58,-66,93
S,1292879,29,-64,76
S,1292889,15,-51,65
S,1292899,7,-43,60
S,1292909,-2,-33,54
S,1292919,2,-23,50
S,1292929,12,-7,59
S,1292939,15,3,62
S,1292949,12,13,54
S,1292959,22,23,53
S,1292969,39,40,61
S,1292979,52,26,89
S,1292989,44,15,104
S,1292999,32,-6,123
S,1293009,29,-6,130
S,1293019,29,-7,152
S,1293029,24,-15,168
S,1293039,44,-27,191
S,1293049,47,-7,190
S,1293059,47,-13,218
S,1293069,39,-11,225
S,1293079,7,-14,248
S,1293089,-26,-11,252
S,1293099,-57,-21,252
S,1293109,-76,-23,240
S,1293119,-57,-20,246
S,1293129,-33,-4,242
S,1293139,-51,48,220
S,1293149,-98,11,269
S,1293159,-120,-48,297
S,1293169,-118,-37,322
S,1293179,-121,-18,327
S,1293189,-130,-20,352
S,1293199,-115,-24,388
S,1293209,-125,-22,390
S,1293219,-133,-10,389
S,1293229,-133,47,407
S,1293239,-127,48,455
S,1293249,-123,47,500
S,1293259,-107,60,538
S,1293269,-98,53,569
S,1293279,-104,-7,606
S,1293289,-102,-65,631
S,1293299,-98,-104,652
S,1293309,-99,-109,609
S,1293319,-54,-83,603
S,1293329,-30,-63,584
S,1293339,-44,-54,555
S,1293349,-49,-33,517
S,1293359,-53,-18,491
S,1293369,-70,-43,494
S,1293379,-108,-42,418
S,1293389,-138,-49,366
S,1293399,-144,-20,337
S,1293409,-157,3,306
S,1293419,-142,2,296
S,1293429,-66,-9,318
S,1293439,-17,13,306
S,1293449,-67,39,237
S,1293459,-110,3,197
S,1293469,-126,7,214
S,1293479,-122,5,232
S,1293489,-131,-2,225
S,1293499,-149,-19,201
