0] builtin=0 custom=0
op[1] builtin=0 custom=0
op[2] builtin=0 custom=0
op[3] builtin=0 custom=0
op[4] builtin=0 custom=0
op[5] builtin=0 custom=0
op[6] builtin=0 custom=0
Input type: 1
Input bytes: 1536
ADXL345 Initialized
window_samples = 128
ESP-ROM:esp32c6-20220919
0] builtin=0 custom=0
op[1] builtin=0 custom=0
op[2] builtin=0 custom=0
op[3] builtin=0 custom=0
op[4] builtin=0 custom=0
op[5] builtin=0 custom=0
op[6] builtin=0 custom=0
Input type: 1
Input bytes: 1536
ADXL345 Initialized
window_samples = 128
ERR unknown command (type 'help')
OK mode=LOG
M,14438,W,1,START
OK start
S,78669,-79,25,473
S,78679,-84,9,508
S,78689,-81,-7,488
S,78699,-83,-10,414
S,78709,-107,4,342
S,78719,-164,47,294
S,78729,-209,22,243
S,78739,-166,-66,293
S,78749,-29,-30,350
S,78759,14,-9,319
S,78769,-31,-84,298
S,78779,-37,-57,266
S,78789,-6,-68,240
S,78799,-38,-55,198
S,78809,-56,-55,176
S,78819,-76,-41,164
S,78829,-89,-56,162
S,78839,-16,-84,235
S,78849,37,-18,241
S,78859,14,-54,203
S,78869,36,-53,209
S,78879,64,-17,211
S,78889,68,-5,212
S,78899,51,7,197
S,78909,22,10,183
S,78919,6,-16,189
S,78929,27,-31,198
S,78939,28,-40,195
S,78949,22,-66,190
S,78959,47,-42,187
S,78969,47,-54,223
S,78979,33,-55,234
S,78989,19,-29,220
S,78999,4,-32,218
S,79009,-10,-14,213
S,79019,-16,-4,205
S,79029,-25,2,199
S,79039,-25,2,204
S,79049,-23,6,213
S,79059,-25,10,218
S,79069,-34,8,221
S,79079,-34,12,227
S,79089,-26,23,231
S,79099,-26,28,235
S,79109,-27,30,237
S,79119,-30,38,233
S,79129,-31,38,239
M,79129,W,2,END
OK end
M,125148,W,3,START
OK start
S,125149,-16,9,291
S,125159,-13,16,288
S,125169,-22,22,278
S,125179,-21,23,277
S,125189,-4,24,290
S,125199,-4,23,290
S,125209,-7,23,287
S,125219,-7,25,278
S,125229,-10,25,275
S,125239,-14,21,278
S,125249,-14,24,277
S,125259,-16,23,275
S,125269,-18,19,274
S,125279,-20,17,270
S,125289,-19,7,272
S,125299,-22,27,252
S,125309,-27,18,253
S,125319,-19,25,249
S,125329,-1,36,254
S,125339,-5,41,250
S,125349,-9,37,243
S,125359,-4,29,241
S,125369,1,30,231
S,125379,4,25,210
S,125389,3,21,180
S,125399,9,15,167
S,125409,23,31,158
S,125419,38,29,157
S,125429,46,32,152
S,125439,53,25,136
S,125449,61,26,120
S,125459,64,14,117
S,125469,60,16,95
S,125479,53,11,97
S,125489,52,8,121
S,125499,50,-23,166
S,125509,40,-35,180
S,125519,34,-10,172
S,125529,49,31,163
S,125539,78,110,166
S,125549,91,122,189
S,125559,70,135,219
S,125569,53,95,220
S,125579,18,30,245
S,125589,35,-25,278
S,125599,68,-44,301
S,125609,54,-45,308
S,125619,22,-53,297
S,125629,6,-31,279
S,125639,-8,-38,319
S,125649,-35,-42,341
S,125659,-49,-53,368
S,125669,-62,-39,399
S,125679,-55,-40,425
S,125689,-28,-5,433
S,125699,-25,12,486
S,125709,-33,41,501
S,125719,-51,91,512
S,125729,-69,134,538
S,125739,-90,130,556
S,125749,-82,113,579
S,125759,-66,105,579
S,125769,-40,91,579
S,125779,-15,66,567
S,125789,12,55,549
S,125799,49,57,521
S,125809,78,69,510
S,125819,74,71,485
S,125829,41,76,451
S,125839,10,71,421
S,125849,0,61,395
S,125859,-14,47,375
S,125869,-44,31,343
S,125879,-43,30,319
S,125889,-1,20,313
S,125899,58,7,301
S,125909,17,-9,266
S,125919,-12,-22,233
S,125929,-21,-29,217
S,125939,-35,-34,206
S,125949,-55,-26,186
S,125959,-44,-19,167
S,125969,32,-3,173
S,125979,70,-8,188
S,125989,34,-36,181
S,125999,9,-55,172
S,126009,-5,-31,160
S,126019,-23,-19,143
S,126029,-27,-14,135
S,126039,-12,-12,136
S,126049,4,-20,142
S,126059,11,-26,147
S,126069,14,-35,146
S,126079,19,-33,139
S,126089,30,-38,145
S,126099,37,-35,147
S,126109,41,-27,147
S,126119,47,-5,150
S,126129,44,8,146
S,126139,35,15,144
S,126149,30,17,141
S,126159,19,4,140
S,126169,16,-3,141
S,126179,19,-7,147
S,126189,27,0,150
S,126199,37,-5,165
S,126209,36,-16,173
S,126219,19,-38,180
S,126229,10,-55,192
S,126239,21,-60,205
S,126249,22,-58,199
S,126259,27,-54,200
S,126269,25,-43,192
S,126279,22,-29,192
S,126289,27,-2,200
S,126299,39,23,219
S,126309,46,43,227
S,126319,59,54,239
S,126329,63,65,235
